,nazwa,Korekta,rodzaj,nazwa2,,Model,Numer wewnętrzny,Właściwa kategoria główna,Kategoria I,Kategoria II,Kategoria III,Zasięg,Udźwig (t),Dodatki
5109,Podnośnik teleskopowo - przegubowy 20m,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,,,,20m,-,-
8072,Podnośnik teleskopowo - przegubowy elektryczny 12m,,artykuł,Podesty przegubowo-teleskopowe elektryczne,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,12m,-,-
8073,Podnośnik teleskopowo - przegubowy elektryczny 12m,,artykuł,Podesty przegubowo-teleskopowe elektryczne,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,12m,-,-
11108,Podnośnik teleskopowo - przegubowy elektryczny 16m,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,16m,-,-
7054,Podnośnik teleskopowo - przegubowy elektryczny 16m,,artykuł,Podesty przegubowo-teleskopowe elektryczne,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,16m,-,-
9056,Podnośnik teleskopowo - przegubowy elektryczny 16m,,artykuł,Podesty przegubowo-teleskopowe elektryczne,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,16m,-,-
9057,Podnośnik teleskopowo - przegubowy elektryczny 16m,,artykuł,Podesty przegubowo-teleskopowe elektryczne,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,16m,-,-
11092,Podnośnik teleskopowo - przegubowy elektryczny 17m,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,17m,-,-
9054,Podnośnik teleskopowo - przegubowy elektryczny 17m,,artykuł,Podesty przegubowo-teleskopowe elektryczne,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,17m,-,-
8057,Podnośnik teleskopowo - przegubowy elektryczny 17m,,artykuł,Podesty przegubowo-teleskopowe elektryczne,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,17m,-,-
9055,Podnośnik teleskopowo - przegubowy elektryczny 20m,,artykuł,Podesty przegubowo-teleskopowe elektryczne,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Elektryczne,,,20m,-,-
5077,Podnośnik teleskopowo - przegubowy spalinowy 16m,,artykuł,Podesty przegubowo-teleskopowe diesel,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
9050,Podnośnik teleskopowo - przegubowy spalinowy 16m,,artykuł,Podesty przegubowo-teleskopowe diesel,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
9051,Podnośnik teleskopowo - przegubowy spalinowy 16m,,artykuł,Podesty przegubowo-teleskopowe diesel,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
7055,Podnośnik teleskopowo - przegubowy spalinowy 16m,,artykuł,Podesty przegubowo-teleskopowe diesel,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
5108,Podnośnik teleskopowo - przegubowy spalinowy 16m,,artykuł,Podesty przegubowo-teleskopowe diesel,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
5062,Podnośnik teleskopowo - przegubowy spalinowy 16m,,artykuł,Podesty przegubowo-teleskopowe diesel,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
8051,Podnośnik teleskopowo - przegubowy spalinowy 20m,,artykuł,Podesty przegubowo-teleskopowe diesel,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,20m,-,-
10046,Podnośnik teleskopowo - przegubowy spalinowy 20m,,artykuł,Podesty przegubowo-teleskopowe diesel,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,20m,-,-
10079,Podnośnik teleskopowo - przegubowy spalinowy 20m,,artykuł,Podesty przegubowo-teleskopowe diesel,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,20m,-,-
8050,Podnośnik teleskopowo - przegubowy spalinowy 25m,,artykuł,Podesty przegubowo-teleskopowe diesel,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,25m,-,-
5061,Podnośnik teleskopowo - przegubowy spalinwy 16m,,artykuł,Podesty przegubowo-teleskopowe diesel,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
11114,Podnośnik teleskopowy 16m,,artykuł,ogólna,x,,,Podnośniki Teleskopowe,Podnośniki Teleskopowe Spalinowe,,,16m,-,-
10115,Podośnik nożycowy elektryczny 16m,,artykuł,ogólna,x,,,Podnośniki Nożycowe,Podnośniki Nożycowe Elektryczne,,,16m,-,-
8062,Usluga ładowarką teleskopową 6m,,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,,,,6m,-,-
10085,Usługa ładoarką teleskopową z przedłużkami,,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,,,,-,-,Z przedłużkami
10076,Usługa ładowarką obrotową,niejednolite nazewnictwo -> Usługa ładowarką teleskopową obrotową,Usługa,ogólna,x,,,Ładowarka teleskopowa,Ładowarki Teleskopowe Obrotowe,,,-,-,-
10069,Usługa ładowarką obrotową 21m,niejednolite nazewnictwo -> Usługa ładowarką teleskopową obrotową,Usługa,ogólna,x,,,Ładowarka teleskopowa,Ładowarki Teleskopowe Obrotowe,,,21m,-,-
11116,Usługa ładowarką teleskopową,,Usługa,ogólna,x,,,Ładowarka teleskopowa,,,,-,-,-
5053,Usługa ładowarką teleskopową,,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,,,,-,-,-
10071,Usługa ładowarką teleskopową 13m,,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,,,,13m,-,-
10101,Usługa ładowarką teleskopową 14m,,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,,,,14m,-,-
10100,Usługa ładowarką teleskopową 14m/17m,do wyjaśnienia,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,,,,14m/17m,-,-
10110,Usługa ładowarką teleskopową 17,,Usługa,ogólna,x,,,Ładowarka teleskopowa,,,,17m,-,-
10047,Usługa ładowarką teleskopową 17m,,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,,,,17m,-,-
12127,Usługa ładowarką teleskopową 18m,,Usługa,ogólna,x,,,Ładowarka teleskopowa,,,,18m,-,-
8052,Usługa ładowarką teleskopową 25m,,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,,,,25m,-,-
12103,Usługa ładowarką teleskopową 6m,,Usługa,ogólna,x,,,Ładowarka teleskopowa,,,,6m,-,-
10053,Usługa ładowarką teleskopową 6m,,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,,,,6m,-,Łyżka
5044,Usługa ładowarką teleskopową 6m z łyżka,,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,,,,6m,-,-
10102,Usługa ładowarką teleskopową 7m,,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,,,,7m,-,-
10058,Usługa ładowarką teleskopową 9m,,Usługa,Ladowarki teleskopowe,x,,,Ładowarka teleskopowa,,,,9m,-,-
5051,Usługa ładowarką teleskopową obrotową,,artykuł,Ladowarki teleskopowe obrotowe,x,,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Obrotowe,,,-,-,-
8055,Usługa ładowarką teleskopową obrotową 16m,,Usługa,Ladowarki teleskopowe obrotowe,x,,,Ładowarka teleskopowa,Ładowarki Teleskopowe Obrotowe,,,16m,-,-
11100,Usługa ładowarką teleskopową obrotową 18m,,Usługa,ogólna,x,,,Ładowarka teleskopowa,Ładowarki Teleskopowe Obrotowe,,,18m,-,-
11109,Usługa ładowarką teleskopową obrotową 21m,,Usługa,ogólna,x,,,Ładowarka teleskopowa,Ładowarki Teleskopowe Obrotowe,,,21m,-,-
12124,Usługa ładowarką teleskopową obrotową 21m,,Usługa,ogólna,x,,,Ładowarka teleskopowa,Ładowarki Teleskopowe Obrotowe,,,21m,-,-
11093,Usługa ładowarką teleskopową obrotową 25m,,Usługa,ogólna,x,,,Ładowarka teleskopowa,Ładowarki Teleskopowe Obrotowe,,,25m,-,-
8045,Usługa wózkiem widłowym,,Usługa,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,-,-
10091,Usługa wózkiem widłowym,,Usługa,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,-,-
2020,Usługa wózkiem widłowym 14m,,Usługa,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,14m,-,-
2021,Usługa wózkiem widłowym 14m,,Usługa,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,14m,-,-
2022,Usługa wózkiem widłowym 14m,,Usługa,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,14m,-,-
2023,Usługa wózkiem widłowym 14m,,Usługa,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,14m,-,-
2018,Usługa wózkiem widłowym 6m,,Usługa,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,6m,-,-
2019,Usługa wózkiem widłowym 6m,,Usługa,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,6m,-,-
8070,wózek widłowy,,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,-,-
8066,Wózek widłowy,,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,-,-
10068,Wózek widłowy,,artykuł,Wózki widlowe,x,,,Wozidła,Wózki widłowe,,,-,-,-
7045,Ładowarka teleskopowa 10t,,artykuł,Ladowarki teleskopowe,x,,,Ładowarki Teleskopowe ,,,,-,10,-
7049,Minikoparka 5t,,artykuł,ogólna,x,,,Maszyny Do Prac Ziemnych,Minikoparki,,,-,5,-
8060,Ładowarka obrotowa 4t,,artykuł,ogólna,x,,,Ładowarki Teleskopowe,Ładowarki Teleskopowe Obrotowe,,,-,4,-
10064,Ładowarka teleskopowa JLG 3513,,artykuł,Ladowarki teleskopowe,x,JLG 3513,,Ładowarki Teleskopowe ,Ładowarki Teleskopowe Sztywne,,,-,"3,5",
10097,"Minikoparka 3,5t",,artykuł,ogólna,x,,,Maszyny Do Prac Ziemnych,Minikoparki,,,-,"3,5",-
10107,"Minikoparka 2,5t",,artykuł,ogólna,x,,,Maszyny Do Prac Ziemnych,Minikoparki,,,-,"2,5",-
11115,"Minikoparka 2,5t",,artykuł,ogólna,x,,,Maszyny Do Prac Ziemnych,Minikoparki,,,-,"2,5",-
5111,"Minikoparka 2,5t",,artykuł,ogólna,x,,,Maszyny Do Prac Ziemnych,Minikoparki,,,-,"2,5",-
12118,Minikoparka 2t,,artykuł,ogólna,x,,,Maszyny Do Prac Ziemnych,Minikoparki,,,-,2,-
9052,"Minikoparka 1,8t",,artykuł,ogólna,x,,,Maszyny Do Prac Ziemnych,Minikoparki,,,-,"1,8",-
12115,Zagęszczarka stopowa,,artykuł,ogólna,x,,,Akcesoria,Zagęszczarka stopowa,,,,,
12109,Chwytak do płyt,,artykuł,ogólna,x,,,Akcesoria,Przyssawka do płyt warstwowych,,,,,
3034,hak,,artykuł,ogólna,x,,,Akcesoria,Hak obrotowy,,,,,
10065,Hak do ładowarki,,artykuł,ogólna,x,,,Akcesoria,Hak obrotowy,,,,,
7053,Hak do zawiesi,,artykuł,ogólna,x,,,Akcesoria,Hak obrotowy,,,,,
11103,Kosz do ładowarki obrotowej,,artykuł,ogólna,x,,,Akcesoria,Kosz osobowy,,,,,
5085,Kosz do ładowarki obrotowej 16 m,,artykuł,ogólna,x,,,Akcesoria,Kosz osobowy,,,,,
10114,Kosz osobowy,,artykuł,ogólna,x,,,Akcesoria,Kosz osobowy,,,,,
11098,Kosz osobowy,,artykuł,ogólna,x,,,Akcesoria,Kosz osobowy,,,,,
10048,Łyżka do ładowarki,,artykuł,ogólna,x,,,Akcesoria,Łyżka do ładowarki,,,,,
10055,Łyżka do ładowarki,,artykuł,ogólna,x,,,Akcesoria,Łyżka do ładowarki,,,,,
12111,Podest teleskopowo - przegubowy spalinowy 16m,usługa -> artykuł,Usługa,Podesty przegubowo-teleskopowe,x,,,Podesty ruchome,,,,,,
12102,Podnośnik,,artykuł,ogólna,x,,,Podnośniki,,,,,,
3033,Przedłuzki,,artykuł,ogólna,x,,,Akcesoria,Przedłużenie wideł,,,,,
5064,Przedłużenie wideł,,artykuł,ogólna,x,,,Akcesoria,,Przedłużenie wideł,,,,
5054,przedłużki,,artykuł,ogólna,x,,,Akcesoria,Przedłużenie wideł,,,,,
4059,Przedłużki do wideł,,artykuł,ogólna,x,,,Akcesoria,,Przedłużenie wideł,,,,
12121,Przyssawka do płyt warstwowych,,artykuł,ogólna,x,,,Akcesoria,Przyssawka do płyt warstwowych,,,,,
8056,test,,artykuł,ogólna,x,,,x,,,,,,
11126,test,,artykuł,ogólna,x,,,x,,,,,,
8065,test usługi,?,Usługa,ogólna,x,,,Test,,,,,,
10112,Usługa HDS,,Usługa,ogólna,x,,,HDS,,,,,,
10099,Usługa HDS,,Usługa,ogólna,x,,,HDS,,,,,,
10067,Usługa ładowarką obrotową 16m z wciągarką,niejednolite nazewnictwo -> Usługa ładowarką teleskopową obrotową,Usługa,ogólna,x,,,Ładowarka teleskopowa,Ładowarka teleskopowa obrotowa,,,16m,,Wyciągarka
5107,Usługa mini żurawiem,,Usługa,ogólna,x,,,Mini żuraw,,,,,,
11091,Usługa mini żurawiem dekarskim,,Usługa,ogólna,x,,,Mini żuraw,,,,,,Dekarski
12130,Usługa minikoparka,,Usługa,ogólna,x,,,Maszyny Do Prac Ziemnych,Minikoparki,,,,,
11111,Usługa minikoparką,,Usługa,ogólna,x,,,Maszyny Do Prac Ziemnych,Minikoparki,,,,,
12097,Usługa podnośnik koszowy na samochodzie 30m,,Usługa,ogólna,x,,,Podnośnik na samochodzie,Podnośnik koszowy na samochodzie,,,,,Samochód 30m
11128,Usługa podnośnik koszowy na samochodzie 40m,,Usługa,ogólna,x,,,,Podnośnik koszowy na samochodzie,,,,,Samochód 40m
12133,Usługa podnośnikiem teleskopowo - przegubowym 16m,,Usługa,ogólna,x,,,,,,,,,
2014,Usługa żurawiem,,Usługa,ogólna,x,,,Żuraw,,,,,,
10081,Usługa żurawiem kołowym 70m,,Usługa,ogólna,x,,,Żuraw,Żuraw kołowy,,,70m,,
11094,Wciągarka do ładowarki,,artykuł,ogólna,x,,,Akcesoria,Wciągarka typu żuraw,,,,,
11104,Wciągarka do ładowarki,,artykuł,ogólna,x,,,Akcesoria,Wciągarka typu żuraw,,,,,
10072,Wywóz gruzu,,Usługa,Wózki widlowe,x,,,Wywóz gruzu,,,,,,
12112,Zagęszczarka stopowa,,artykuł,ogólna,x,,,Akcesoria,Zagęszczarka stopowa,,,,,
10066,Zawiesia łańcuchowe,,artykuł,ogólna,x,,,Akcesoria,Zawiesia łańcuchowe,,,,,
7046,żuraw do ładowarki,,artykuł,ogólna,x,,,Akcesoria,Żuraw do ładowarki teleskopowej,,,,,
8061,Żuraw do ładowarki,,artykuł,ogólna,x,,,Akcesoria,Żuraw do ładowarki teleskopowej,,,,,
